Tulsa|67|Indiana St.|59
UT Martin|78|James Madison|75
Fla. Atlantic|65|Lipscomb|79
Oklahoma St.|82|Long Beach St.|77
N.C. Central|77|Long Island|78
Antelope Valley|62|Loyola Marymount|86
Cal Poly|78|UMBC|65
Northeastern|61|Miami (OH)|67
Missouri St.|70|Mississippi St.|84
Wyoming|82|Montana St.|83
Goucher|47|Navy|76
Southeastern La.|65|Nebraska|92
Niagara|73|N.C. A&amp;T|72
Austin Peay|91|Northern Colo.|76
Abilene Christian|57|Portland|87
Holy Cross|56|Quinnipiac|62
Fresno St.|82|Rice|65
Old Dominion|64|St. Joseph's|66
Stanford|61|St. Mary's (CA)|78
Mississippi|63|Seton Hall|75
Hofstra|84|South Carolina|94
Louisiana State-Shreveport|64|Stephen F. Austin|88
Gardner-Webb|64|Tennessee|89
Alcorn St.|66|UTEP|88
Portland St.|79|Texas-Rio Grande Valley|61
Minnesota|68|Texas Tech|81
Appalachian St.|48|Tulane|76
Buffalo|77|Vermont|71
Wisconsin|74|VCU|73
Bowling Green|79|Youngstown St.|72
Kansas|123|Chaminade|72
Eastern Mich.|65|Michigan St.|89
Northern Ky.|66|Xavier|78
Northwestern|69|North Carolina|80
Bethune-Cookman|44|West Virginia|97
Wake Forest|82|Indiana|78
Chattanooga|63|Iowa St.|83
Savannah St.|61|Baylor|100
Sam Houston St.|63|Cal|89
North Carolina St.|76|Arizona St.|79
Concordia (OR)|53|Boise St.|100
Santa Clara|61|UC-Irvine|79
UTSA|84|Central Ark.|98
Weber St.|63|Central Mich.|60
Massachusetts|82|Clemson|65
Chestnut Hill|75|Coppin St.|92
Penn St.-Harrisburg|47|Cornell|76
Mercer|71|Davidson|77
Norfolk St.|78|DePaul|82
Michigan-Dearborn|70|Detroit|122
Bowling Green|82|Fla. Gulf Coast|77
Ohio|81|Florida St.|90
Mississippi Val.|60|Grand Canyon|94
Indiana St.|67|Hofstra|66
Texas Southern|81|Howard|87
Chicago St.|79|Illinois|82
